name;area of expertise;topic;keywords;date;preferred city
Jérémy Chastenet;Postdoc in astrophysics;Ghent University;Astrophysics of galaxies, the local universe;29/01/2024;​
Kamile Grusauskaite;Ph.D Candidate;KU Leuven - Institute for Media Studies;mediatization of conspiracy theories and looks at how and why people imagine conspiracies on YouTube;18/04/2022;Brussels
Karel Decaestecker;Professor of urology;Ghent University;Urology, robotics, kidney transplants;13/04/2019;​
Karen François;Professor;Vrije Universiteit Brussel;Philosophy of science, mathematical practices, cultures & education;03/04/2019;​
Karen Triquet;Researcher;Vrije Universiteit Brussels;Digitalization and educational innovation;15/05/2019;Leuven
Karine Van Doninck;Professor, ERC Grantee;Laboratory of Evolutionary Genetics and Ecology (LEGE), University of Namur;Laboratory of Evolutionary Genetics and Ecology (LEGE);01/05/2019;​
Kathy Steppe;Professor;Universiteit Gent, Faculteit Bio-ingenieurswetenschappen;Plant ecology, Interactions between plants and their environments;20/04/2019;​
Katrien Kolenberg;Astrofysicus and STEAM coordinator;KU Leuven and UAntwerpen;Working on sounds from outer space.;26/03/2019;​
Klingler;Group leader in Neuroscience;VIB-KU Leuven Center for Brain and Disease Research;Developmental Neuroscience;17/01/2024;Leuven
Koen Stein;Paleontologist;Vrije Universiteit Brussel & Royal Belgian Institute of Natural Sciences;Paleontology, dinosaurs;14/04/2019;Leuven
Kris Laukens;;University of Antwerp, Faculty of Sciences;Smart computers: guardians of your health.;13/04/2019;Ostend
Kristel Peters;Shoe designer;HoGent;Developing fashionable shoes with sustainable biomaterials;03/04/2019;​
Kristien Hens;Bioethicist , ERC Grantee;University of Antwerp, Department of Philosophy;Bioethicist, genetics, neurodiversity;01/05/2019;Ostend
Kristin Van Damme;Senior researcher and lecturer journalism and innovation;University of Gent;Media, social sciences;30/04/2021;​
Lars De Laet;Associate Professor;Architectural Engineering, Vrije Universiteit Brussel;Design and development of innovative sustainable constructions;03/04/2019;​
Laura Drechsler;PhD Researcher;Vrije Universiteit Brussel;Data subject rights in the context of data transfers;20/04/2022;not set
Laura Lopez;Researcher;Université Libre de Bruxelles;Gravity, Cosmology, early universe, dark matter;04/03/2019;Leuven
Laurent Vanderheyden;PhD student;Université Libre de Bruxelles;Black matter, theoretical physics;04/03/2019;not set
Laurie Freire Boullosa;;University of Antwerp, Faculty of Medicine and Health Sciences;Using our own immune system to fight cancer.;13/04/2019;not set
Laurien Van Dyck;PhD student and Grand Challenge project coordinator;VIB-KUL Center for Cancer Biology;Biomedical sciences: immune-oncology (immunotherapy);13/02/2020;Brussels
Lawrence Percival;Postdoctoral fellow;Vrije Universiteit Brussel;Analytical, Environmental and Geo- Chemistry;05/05/2019;Leuven
Lebrun, Delphine;Post-doctoral researcher;Ghent University;engineering sciences, optics, nano-world, LEDs, photocatalysis, science tools;06/11/2019;​
Lenka Zychova;Space Weather Scientist;Royal Belgian Institute for Space Aeronomy;Space weather;30/04/2021;​
Lennart Padberg;Junior Advisor European Affairs;Hague Belgium BVBA;Use of microbes for sustainable agriculture & food production.;10/06/2022;Leuven
Liesbeth Allein;PhD researcher;KU Leuven (Department of Computer Science) & European Commission's Joint Research Centre;Fake news and artificial intelligence;18/04/2022;Brussels
Lieven Thorrez;Professor (biomedical sciences);KU Leuven;Skeletal muscle tissue engineering;15/04/2019;​
Liezl Mari Vermeulen;PhD researcher;KU Leuven;;12/04/2023;Brussels
Liliana D'Alba;Senior Researcher;Universiteit Gent / Naturalis Biodiversity Center;Biomimicry / Evolution and mechanisms of animal coloration;28/04/2022;​
Liliana D'Alba;Scientific Researcher;Universiteit Gent / Naturalis Biodiversity Center;Evolution and mechanisms of animal coloration / Biomimicry.;28/04/2022;​
Livia Di Crescenzo;PhD student;KU Leuven;Behavioral testing, mice social behavior, animal model of autism spectrum disorder;05/01/2024;Leuven
Ljuba Ponomarev;PhD student;KU Leuven;Medecine, blood ,therapies, milky vessels;18/04/2022;Brussels
Louis Fortemps;PhD candidate;KU Leuven;German propaganda in Belgium during WW2;16/04/2023;Leuven
Luis, Diaz Allegue;Postdoc at;University of Antwerp;Bioscience engineering and microbial biotech;21/01/2024;Antwerp
Luk Cox and Idoya Lahortiga;Combining science and visual communication;Somersault18:24;Science promotion and communication via design;15/04/2019;Leuven
Maarten Mees;Renewable Materials and Nanotechnology Research Group;KU Leuven;Wound healing gels;13/04/2019;​
Maarten Schenk;Fact Checker & Developer;Lead Stories;fact checking;25/04/2019;​
Maja Verstraeten;;University of Antwerp;Physics, Neutrinos;04/03/2019;Ostend
Mana Inoue;Postdoctoral Researcher;ULB;Glaciochemist specialising in ice core analysis;30/04/2019;Leuven
Manon Couvignou;PhD candidate;ULB;How the brain encodes and understands music.;16/04/2023;Brussels
Marc Kochzius;Professor for Marine Biology;Vrije Universiteit Brussel (VUB);Marine biology from the poles to the tropics.;08/01/2020;Leuven
